t	x1	x2
0.0000	6.7448	6.72313
0.1000	6.50885	6.49877
0.2000	6.21926	6.20101
0.3000	6.1057	6.09757
0.4000	6.09811	6.12596
0.5000	6.16544	6.19239
0.6000	6.2008	6.23177
0.7000	6.1956	6.24893
0.8000	6.1871	6.23783
0.9000	6.19399	6.21997
1.0000	6.17827	6.20757
1.1000	6.17809	6.21598
1.2000	6.17881	6.21896
1.3000	6.17599	6.22792
1.4000	6.16904	6.25226
1.5000	6.19072	6.23506
1.6000	6.17747	6.22173
1.7000	6.18641	6.20681
1.8000	6.1935	6.18865
1.9000	6.18115	6.19847
2.0000	6.20612	6.21736
2.1000	6.20896	6.22095
2.2000	6.20953	6.22199
2.3000	6.20561	6.22139
2.4000	6.20505	6.21075
2.5000	6.18926	6.22254
2.6000	6.18817	6.22129
2.7000	6.20405	6.20746
2.8000	6.21104	6.21602
2.9000	6.18534	6.20732
3.0000	6.18133	6.21466
3.1000	6.20715	6.21376
3.2000	6.19557	6.21579
3.3000	6.19714	6.19594
3.4000	6.19486	6.20471
3.5000	6.19169	6.20835
3.6000	6.19009	6.22077
3.7000	6.20154	6.20506
3.8000	6.20939	6.22653
3.9000	6.22247	6.19694
4.0000	6.21255	6.20896
4.1000	6.18939	6.22162
4.2000	6.17657	6.22526
4.3000	6.1862	6.23524
4.4000	6.20138	6.21522
4.5000	6.19507	6.20884
4.6000	6.17856	6.19759
4.7000	6.1727	6.20939
4.8000	6.17697	6.20344
4.9000	6.20905	6.20041
5.0000	6.20667	6.22816
5.1000	6.21456	6.23307
5.2000	6.20006	6.22428
5.3000	6.20005	6.21237
5.4000	6.19815	6.19376
5.5000	6.19558	6.18114
5.6000	6.20495	6.18678
5.7000	6.19059	6.1871
5.8000	6.19396	6.22004
5.9000	6.19794	6.24272
6.0000	6.19604	6.2441
6.1000	6.19469	6.24395
6.2000	6.17985	6.21089
6.3000	6.19272	6.2143
6.4000	6.18833	6.20239
6.5000	6.20875	6.20042
6.6000	6.20785	6.20556
6.7000	6.21728	6.22565
6.8000	6.20646	6.23993
6.9000	6.18252	6.21457
7.0000	6.19513	6.218
7.1000	6.20651	6.20398
7.2000	6.21035	6.20594
7.3000	6.20816	6.17409
7.4000	6.20561	6.18249
7.5000	6.20853	6.18074
7.6000	6.20238	6.22145
7.7000	6.18959	6.22173
7.8000	6.19805	6.22234
7.9000	6.2046	6.20708
8.0000	6.21129	6.17534
8.1000	6.19582	6.16971
8.2000	6.18177	6.17963
8.3000	6.17088	6.20195
8.4000	6.18338	6.2107
8.5000	6.18663	6.19789
8.6000	6.2051	6.20586
8.7000	6.22474	6.23313
8.8000	6.2097	6.2146
8.9000	6.183	6.22407
9.0000	6.18951	6.22179
9.1000	6.16698	6.19103
9.2000	6.19299	6.21045
9.3000	6.21762	6.22677
9.4000	6.20394	6.19966
9.5000	6.18552	6.19207
9.6000	6.19648	6.1939
9.7000	6.20626	6.19472
9.8000	6.1932	6.19099
9.9000	6.19423	6.1963
10.0000	6.17367	6.20619
10.1000	6.18434	6.19486
10.2000	6.18689	6.19937
10.3000	6.18683	6.19891
10.4000	6.18589	6.22262
10.5000	6.17182	6.20506
10.6000	6.19268	6.20416
10.7000	6.2198	6.21085
10.8000	6.21788	6.20433
10.9000	6.22438	6.21955
11.0000	6.21861	6.21389
11.1000	6.195	6.20583
11.2000	6.19565	6.24098
