t	x2
0.0000	0.824132
0.1000	0.806117
0.2000	0.761068
0.3000	0.774399
0.4000	0.782204
0.5000	0.780837
0.6000	0.788852
0.7000	0.812082
0.8000	0.79184	
0.9000	0.773353
1.0000	0.800148
1.1000	0.785393
1.2000	0.770274
1.3000	0.758371
1.4000	0.761857
1.5000	0.772773
1.6000	0.791621
1.7000	0.784459
1.8000	0.768649
1.9000	0.762603
2.0000	0.782098
2.1000  0.784758	
2.2000	0.77194	
2.3000  0.796691	
2.4000	0.774072
2.5000	0.765999
2.6000  0.75284
2.7000	0.749435
2.8000  0.768379	
2.9000	0.769398
3.0000	0.782072
3.1000	0.780258
3.2000	0.768878
3.3000	0.78236	
3.4000	0.770667
3.5000	0.771319
3.6000	0.764349
3.7000	0.778356
3.8000	0.793004
3.9000	0.780566
4.0000	0.765402
4.1000	0.757867
4.2000	0.761349
4.3000	0.765291
4.4000	0.78693	
4.5000	0.801072
4.6000	0.768807
4.7000	0.778703
4.8000	0.772542
4.9000	0.776159
5.0000	0.787752
5.1000	0.76693	
5.2000	0.774919
5.3000	0.775966
5.4000	0.775567
5.5000	0.773578
5.6000	0.772341
5.7000	0.767478
5.8000	0.761257
5.9000	0.787314
6.0000	0.770681
6.1000	0.745648
6.2000	0.759692
6.3000	0.771701
6.4000	0.783437
6.5000	0.756888
6.6000	0.751664
6.7000	0.751516
6.8000	0.761678
6.9000	0.770174
7.0000	0.753223
7.1000	0.77865	
7.2000	0.788744
7.3000	0.769975
7.4000	0.754902
7.5000	0.750251
7.6000	0.786133
7.7000	0.78652	
7.80004144	
7.90005937	
8.0000	0.779932
8.1000	0.76677	
8.2000	0.76433	
8.3000	0.766867
8.4000864	0.25
8.5000	0.754472
8.6000	0.767465
8.7000	0.755668
8.8000	0.770932
8.9000	0.752192
9.0000	0.762064
9.1000	0.760035
9.2000	0.779811
9.3000	0.76423	
9.4000	0.758224
9.5000	0.78892	
9.6000	0.767652
9.7000	0.747195
9.8000	0.750546
9.9000	0.762969
10.000	0.761555
10.100	0.778944
10.200	0.785193
10.300	0.779618
10.400	0.752617
10.500	0.742491
10.600	0.762358
10.700	0.762852
10.800	0.773564
10.900	0.772865
11.000	0.78442	
11.100	0.756337
11.200	0.745137
11.300	0.750276
11.400	0.767517
11.500	0.77802	
11.600	0.789534
11.7004907	
11.800	0.766805
11.900	0.784818
12.000	0.777586
12.100	0.757902
12.200	0.774264
12.300	0.791968
12.400	0.790091
12.500	0.78287	
12.600  0.755894	
12.700	0.763296
12.800	0.796328
12.900	0.796444
13.000	0.763741
13.100	0.761551
13.200	0.789624
13.300  0.794178	
13.400	0.79176	
13.500  0.783471	
13.600  0.785437	
13.700	0.786158
13.800	0.781388
13.900	0.772302
14.000	0.775785
14.100	0.779726
14.200	0.788053
14.300	0.788578
14.400	0.753657
14.500	0.731968
14.600	0.726854
14.700	0.755426
14.800	0.74573	
14.900	0.763587
15.000	0.755245
15.100	0.749099
15.200	0.751727
15.300	0.758248
15.400	0.76236	
15.500	0.762084
